Date,Open,High,Low,Close,Volume
7/25/2025,173.61,174.72,172.96,173.5,"122,316,797"
7/24/2025,172.44,173.83,171.3,173.74,"128,984,602"
7/23/2025,169.53,171.26,167.97,170.78,"154,082,203"
7/22/2025,171.34,171.39,164.58,167.03,"193,114,297"
7/21/2025,172.75,173.38,171,171.38,"123,126,094"
7/18/2025,173.64,174.25,171.26,172.41,"146,456,406"
7/17/2025,172.02,174.16,170.83,173,"160,841,109"
7/16/2025,171.06,171.75,168.9,171.37,"158,831,500"
7/15/2025,171.19,172.4,169.2,170.7,"230,627,391"
7/14/2025,165.37,165.49,162.02,164.07,"136,975,812"
7/11/2025,163.72,167.89,163.47,164.92,"193,633,297"
7/10/2025,164.32,164.5,161.61,164.1,"167,704,094"
7/9/2025,161.22,164.42,161.16,162.88,"183,656,406"
7/8/2025,159.33,160.22,158.39,160,"138,132,984"
7/7/2025,158.2,159.31,157.34,158.24,"140,139,016"
7/3/2025,158.37,160.98,157.77,159.34,"143,716,094"
7/2/2025,152.98,157.6,152.97,157.25,"171,224,094"
7/1/2025,156.29,157.2,151.49,153.3,"213,143,594"
6/30/2025,158.4,158.66,155.96,157.99,"194,580,297"
6/27/2025,156.04,158.71,155.26,157.75,"263,234,500"
6/26/2025,155.98,156.72,154,155.02,"198,145,703"
6/25/2025,149.27,154.45,149.26,154.31,"269,146,500"
6/24/2025,145.56,147.96,145.5,147.9,"187,566,094"
6/23/2025,142.5,144.78,142.03,144.17,"154,308,891"
6/20/2025,145.45,146.2,142.65,143.85,"242,956,188"
6/18/2025,144.01,145.65,143.12,145.48,"161,494,094"
6/17/2025,144.49,145.22,143.78,144.12,"139,108,000"
6/16/2025,143.35,146.18,143.2,144.69,"183,133,703"
6/13/2025,142.48,143.58,140.86,141.97,"180,820,609"
6/12/2025,141.97,145,141.85,145,"162,364,984"
6/11/2025,144.61,144.99,141.87,142.83,"167,694,000"
6/10/2025,142.69,144.29,141.53,143.96,"155,881,906"
6/9/2025,143.19,145,141.94,142.63,"185,114,500"
6/6/2025,142.51,143.27,141.51,141.72,"153,986,203"
6/5/2025,142.17,144,138.83,139.99,"232,410,797"
6/4/2025,142.19,142.39,139.55,141.92,"167,120,797"
6/3/2025,138.78,142,137.95,141.22,"225,578,797"
6/2/2025,135.49,138.12,135.4,137.38,"197,663,109"
5/30/2025,138.72,139.62,132.92,135.13,"333,170,906"
5/29/2025,142.25,143.49,137.91,139.19,"370,615,188"
5/28/2025,136.03,137.25,134.79,134.81,"304,021,094"
5/27/2025,134.15,135.66,133.31,135.5,"192,953,594"
5/23/2025,130,132.68,129.16,131.29,"198,821,297"
5/22/2025,132.23,134.25,131.55,132.83,"187,344,000"
5/21/2025,133.06,137.4,130.59,131.8,"270,608,719"
5/20/2025,134.29,134.58,132.62,134.38,"161,514,203"
5/19/2025,132.39,135.87,132.39,135.57,"193,154,594"
5/16/2025,136.22,136.35,133.46,135.4,"226,542,500"
5/15/2025,134.3,136.3,132.66,134.83,"226,632,609"
5/14/2025,133.2,135.44,131.68,135.34,"281,180,812"
5/13/2025,124.98,131.22,124.47,129.93,"330,430,125"
5/12/2025,121.97,123,120.28,123,"225,023,297"
5/9/2025,117.35,118.23,115.21,116.65,"132,972,203"
5/8/2025,118.25,118.68,115.85,117.37,"198,428,094"
5/7/2025,113.05,117.68,112.28,117.06,"207,827,812"
5/6/2025,111.48,114.74,110.82,113.54,"158,525,594"
5/5/2025,112.91,114.67,112.66,113.82,"133,163,203"
5/2/2025,114.18,115.4,113.37,114.5,"190,194,797"
5/1/2025,113.08,114.94,111.3,111.61,"236,121,500"
4/30/2025,104.47,108.92,104.08,108.92,"235,044,609"
4/29/2025,107.67,110.2,107.44,109.02,"170,444,297"
4/28/2025,109.69,110.37,106.02,108.73,"207,708,500"
4/25/2025,106.85,111.92,105.73,111.01,"251,064,703"
4/24/2025,103.48,106.54,103.11,106.43,"220,815,016"
4/23/2025,104.52,104.8,102.02,102.71,"247,526,000"
4/22/2025,98.78,99.81,97.28,98.89,"241,004,797"
4/21/2025,98.77,99.44,95.04,96.91,"288,501,094"
4/17/2025,104.45,104.47,100.05,101.49,"292,517,500"
4/16/2025,104.55,106.79,100.45,104.49,"397,016,906"
4/15/2025,110.97,113.62,110.5,112.2,"228,966,891"
4/14/2025,114.11,114.29,109.07,110.71,"264,705,000"
4/11/2025,108.5,111.55,107.48,110.93,"313,417,312"
4/10/2025,109.37,110.86,99.15,107.57,"437,812,406"
4/9/2025,98.89,115.1,97.53,114.33,"612,918,250"
4/8/2025,103.81,105.85,94.46,96.3,"476,243,406"
4/7/2025,87.46,101.75,86.62,97.64,"611,041,250"
4/4/2025,98.91,100.13,92.11,94.31,"532,273,812"
4/3/2025,103.51,105.63,101.6,101.8,"338,769,406"
4/2/2025,107.29,111.98,106.79,110.42,"220,601,203"
4/1/2025,108.52,110.2,106.47,110.15,"222,614,000"
3/31/2025,105.13,110.96,103.65,108.38,"299,212,719"
3/28/2025,111.49,112.87,109.07,109.67,"229,872,500"
3/27/2025,111.35,114.45,110.66,111.43,"236,902,094"
3/26/2025,118.73,118.84,112.71,113.76,"296,431,719"
3/25/2025,120.55,121.29,118.92,120.69,"167,447,203"
3/24/2025,119.88,122.22,119.34,121.41,"228,452,500"
3/21/2025,116.94,117.99,115.42,117.7,"266,498,500"
3/20/2025,116.55,120.2,116.47,118.53,"248,829,703"
3/19/2025,117.27,120.45,115.68,117.52,"273,426,219"
3/18/2025,118,119.02,114.54,115.43,"299,686,906"
3/17/2025,122.74,122.89,118.03,119.53,"255,501,500"
3/14/2025,118.61,121.88,118.15,121.67,"277,593,500"
3/13/2025,117.03,117.76,113.79,115.58,"299,033,094"
3/12/2025,114.12,116.76,112.88,115.74,"323,857,500"
3/11/2025,106.99,112.24,104.77,108.76,"354,865,688"
3/10/2025,109.9,111.85,105.46,106.98,"366,487,406"
3/7/2025,111.25,113.48,107.56,112.69,"341,755,500"
3/6/2025,113.53,115.35,110.22,110.57,"321,181,875"
3/5/2025,117.58,118.28,114.51,117.3,"284,337,875"
3/4/2025,110.65,119.31,110.11,115.99,"398,163,281"
3/3/2025,123.51,123.7,112.28,114.06,"411,381,406"
2/28/2025,118.02,125.09,116.4,124.92,"389,091,094"
